# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1781083788946000000,1781083848958000000,3317952
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1781083788946000000,1781083848958000000,0
VFS.contentStorage.recordsDeduplicated,1781083788946000000,1781083848958000000,0
VFS.contentStorage.recordsReadDecompressed,1781083788946000000,1781083848958000000,1
VFS.invertedFileNameIndex.requests,1781083788946000000,1781083848958000000,1
VFS.contentStorage.recordsRead,1781083788946000000,1781083848958000000,7
VFS.contentStorage.recordsStored,1781083788946000000,1781083848958000000,3
VFS.contentStorage.recordsStoredSize,1781083788946000000,1781083848958000000,4406
VFS.cache.segments,1781083788946000000,1781083848958000000,181
VFS.fileByIdCache.hits,1781083788946000000,1781083848958000000,4
VFS.cache.filesCreated,1781083788946000000,1781083848958000000,230888
VFS.contentStorage.recordsDecompressionTimeUs,1781083788946000000,1781083848958000000,232
VFS.ContentWriter.totalTasksExecutedAsync,1781083788946000000,1781083848958000000,0
VFS.contentStorage.recordsStoredCompressed,1781083788946000000,1781083848958000000,1
VFS.cache.segmentsCreated,1781083788946000000,1781083848958000000,182
StreamlinedBlobStorage.recordsRelocated,1781083788946000000,1781083848958000000,0
FilePageCache.pageHits,1781083788946000000,1781083848958000000,645076
DirectByteBufferAllocator.misses,1781083788946000000,1781083848958000000,338
MappedFileStorage.totalPagesMapped,1781083788946000000,1781083848958000000,17
FilePageCache.uncachedFileAccess,1781083788946000000,1781083848958000000,1097
DirectByteBufferAllocator.disposed,1781083788946000000,1781083848958000000,0
FilePageCache.totalBytesStored,1781083788946000000,1781083848958000000,45807088
FilePageCache.maxRegisteredFiles,1781083788946000000,1781083848958000000,444
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781083788946000000,1781083848958000000,0
FilePageCache.WAL.entriesFlushed,1781083788946000000,1781083848958000000,8116
FilePageCache.totalPageStoresUs,1781083788946000000,1781083848958000000,19979
StorageLockContext.competingThreads.avg,1781083788946000000,1781083848958000000,0.01694915254237288
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1781083788946000000,1781083848958000000,480244
FilePageCache.WAL.entriesFlushedOnClose,1781083788946000000,1781083848958000000,0
MappedFileStorage.totalBytesMapped,1781083788946000000,1781083848958000000,266600448
StorageLockContext.competingThreads.90P,1781083788946000000,1781083848958000000,0
StorageLockContext.competingThreads.max,1781083788946000000,1781083848958000000,1
StreamlinedBlobStorage.recordsDeleted,1781083788946000000,1781083848958000000,3
FilePageCache.totalPageLoadsUs,1781083788946000000,1781083848958000000,114723
MappedFileStorage.storages,1781083788946000000,1781083848958000000,17
FilePageCache.WAL.flushesForcedByOverflow,1781083788946000000,1781083848958000000,0
FilePageCache.pageLoads,1781083788946000000,1781083848958000000,341
FilePageCache.WAL.entriesFlushedOnRead,1781083788946000000,1781083848958000000,18
DirectByteBufferAllocator.hits,1781083788946000000,1781083848958000000,3
FilePageCache.WAL.entriesFlushedOnTruncate,1781083788946000000,1781083848958000000,0
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1781083788946000000,1781083848958000000,0
FilePageCache.WAL.entriesFlushedOnForce,1781083788946000000,1781083848958000000,0
FilePageCache.WAL.bytesQueued,1781083788946000000,1781083848958000000,80209804
MappedFileStorage.totalTimeSpentOnMappingUs,1781083788946000000,1781083848958000000,49321
FilePageCache.pageFastCacheHits,1781083788946000000,1781083848958000000,5812765
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781083788946000000,1781083848958000000,354418688
FilePageCache.totalPageDisposalsUs,1781083788946000000,1781083848958000000,1116
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1781083788946000000,1781083848958000000,2476727
FileChannelInterruptsRetryer.totalRetriedAttempts,1781083788946000000,1781083848958000000,0
FilePageCache.capacityInBytes,1781083788946000000,1781083848958000000,629145600
FilePageCache.maxCacheSizeInBytes,1781083788946000000,1781083848958000000,354418688
StreamlinedBlobStorage.recordsAllocated,1781083788946000000,1781083848958000000,34725
FilePageCache.disposedBuffers,1781083788946000000,1781083848958000000,3
DirectByteBufferAllocator.reclaimed,1781083788946000000,1781083848958000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1781083788946000000,1781083848958000000,0
parser.HTML.time.ns,1781083848958000000,1781083908951000000,25735124
LowMemory.gcLoad,1781083848958000000,1781083908951000000,0.0
